Exportado em: 27/06/2018;;;;;;;;;Transparência Fly;
Camboriú - SC;;;;;;;;;;
Todas as entidades do município;;;;;;;;;;
Consulta de compras diretas;;;;;Última atualização: 27/06/2018 22:25:08;;;;;
Filtros utilizados para elaboração da consulta: Entidade: Todas | Ano: 2018 | Mês: Junho | Centro de custos: Todos | Tipo de compra: Todos;;;;;;;;;;
Compra;Data da compra;Objeto;Centro de custos;Fornecedor;;Valor (R$);Justificativa;Tipo de compra;;Anulação / Data
44 - 2018;17/04/2018;REQUISITA-SE SERVIÇOS DE ANÁLISES DE ÁGUA NA SOLUÇÃO ALTERNATIVA COLETIVA (SAC) DE ABASTECIMENTO DE ÁGUA NO PARQUE DA BICA.;Fundação Municipal do Meio Ambiente;LABB LABORATORIOS DE ANALISES AMBIENTAIS LTDA;;7.985,70;;Compra Comum;;
44 - 2018;14/02/2018;SIJ - SERVIÇO DE INFORMAÇÕES JUDICIARIAS PARA QUE ESTA PROCURADORIA RECEBE TODAS AS PUBLICAÇÕES JUDICIAIS, COM INTUITO DE TER CIÊNCIA DE ANDAMENTO PROCESSUAL, DESPACHOS E DECISÕES JUDICIAIS, BEM COMO DO INÍCIO DOS PRAZOS PROCESSUAIS, PELO PERIODO DE 12 MESES.;PROCURADORIA GERAL DO MUNICÍPIO;NOTA CERTA BOLETINS JURIDICOS LTDA - EPP;;950,40;;Compra Comum;;
44 - 2018;28/05/2018;AQUISIÇÃO DE BOTIJÕES DE GÁS GLP, PARA O ABASTECIMENTO DAS UNIDADES DO MUNICÍPIO DE CAMBORIU, EM VISTA DA GREVE DOS CAMINHONEIROS QUE SE ENCONTRA EM SEU 7º DIA DE PARALISAÇÃO, OCASIONANDO DESABASTECIMENTO DE VÁRIOS ITENS E DENTRO DELES O GÁS GLP. DAS UNIDADES ESCOLARES DO MUNICÍPIO 17 SE ENCONTRAM SEM NENHUMA RESERVA DE GÁS, COMPROMETENDO O FORNECIMENTO DE MERENDA PARA APROXIMADAMENTE 7000 ALUNOS  DA REDE PÚNLICA MUNICIPAL. REITERAMOS QUE SEM O FORNECIMENTO DO GÁS O MUNICÍPIO NÃO TEM COMO GARANTIR A MANUTENÇÃO DAS AULAS. A REQUISIÇÃO SEGUE COM SOMENTE UM ORÇAMENTO EM FUNÇÃO DE ESTE FORNECEDOR SER O ÚNICO NA REGIÃO QUE TEM ESTOQUE PARA AENTREGA. O MUNICÍPIO TENTOU PRIMEIRAMENTO O FORNECIMENTO ATRAVÉS DE SEU FORNECEDOR LICITADO. O QUAL NÃO TEVE CONDIÇÕES DE ATENDER A DEMANDA LOCAL. AS ESCOLAS DESABASTECIDAS COM GÁS GLP SÃO: CAIC BAIRRO MONTE ALEGRE, ESCOLA E CEI JOÃO ARRUDA, CEI EURÍPRDIS, ESCOLA ANITA,  ESCALA E CEI ABERLARDO, CEI TANIA E ESCOLA RANIA, CEI ODETE, CEI ORLANDO, CEI ALCI;SECRETARIA MUNICIPAL DE EDUCAÇÃO;RESCAROLI COMERCIO E TRANSPORTE DE GÁS LTDA ME;;5.185,00;;Compra Comum;;
44 - 2018;09/04/2018;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DESTINADOS AS ATIVIDADES DO CAPS NA INTERAÇÃO COM OS PACIENTES QUE FAZEM USO DO MESMO, DESTA FORMA SOLICITAMOS A AQUISIÇÃO DOS MESMOS NA FORMA DE COMPRA DIRETA.;FUNDO MUNICIPAL DE SAÚDE;PANIFICADORA E CONFEITARIA ANJINHO LTDA;;249,00;;Compra Comum;;
43 - 2018;14/06/2018;PRESTAÇÃO DE SERVIÇO DE HIGIENIZAÇÃO COMPLETA DO VEÍCULO FIAT UNO PLACAS MKJ 8629 TENDO EM VISTA QUE DURANTE O SERVIÇO DE ABORDAGEM UM MORADOR DE RUA ENJOOU E SUJOU O INTERIOR DO AUTOMÓVEL. LAVAÇÃO DO ÔNIBUS  VOLARE MARCOPOLO, PLACAS MLP 1416, QUE TRANSPORTA AS CRIANÇAS E ADOLESCENTES DO SCFV PARA OFICINA EXTERNAS. AS LIMPEZAS POSSIBILITARÃO O DESENVOLVIMENTO DAS ATIVIDADES DIÁRIAS REALIZADAS PELA SECRETARIA DE ASSISNTÊNCIA SOCIAL.;SECRETARIA MUNIC. DE ASSISTENCIA SOCIAL;JOSAPHAT TEIXEIRA DE CERQUEIRA 02480187527;;470,00;;Compra Comum;;
43 - 2018;09/04/2018;PRESTAÇÃO DE SERVIÇO DE MÃO DE OBRA PARA O CONSERTO DO AR CONDICIONADO DO TRAILER PERTENCENTE A FUNDAÇÃO MUNICIPAL DO MEIO AMBIENTE PLACAS MKD 4476. A REALIZAÇÃO DE COMPRA DIRETA SE TORNA NECESSÁRIO DEVIDO A EMPRESA SETA CONSTRUTORA CIVIL LTDA VENCEDORA DA LICITAÇÃO 15/2017, PROCESSO 19/2017, NÃO ATENDE AS SOLICITAÇÕES ENCAMINHADA INÚMERAS VEZES.;Fundação Municipal do Meio Ambiente;CLERITON FRANCISCO FLORES DE OLIVEIRA 00609717030;;450,00;;Compra Comum;;
43 - 2018;29/03/2018;AQUISIÇÃO DE DISCO ESPECÍFICO PARA ENCERADEIRA, DESTINADOS A LIMPEZA DO HOSPITAL CIRÚRGICO CAMBORIU - EDWIGES BERNARDES.;FUNDO MUNICIPAL DE SAÚDE;SAFE CLEAN PRODUTOS DE LIMPEZA LTDA - ME;;90,00;;Compra Comum;;
43 - 2018;24/05/2018;AQUISIÇÃO DE PORTA DOCUMENTOS DE PLASTICO, PARA SEREM UTILIZADOS NOS DOCUMENTOS DE IDENTIFICAÇÃO PARA OS ALUNOS MATRICULADOS NA REDE MUNICIPAL QUE NECESSITAM DE TRANSPORTE ESCOLAR.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA;;232,00;;Compra Comum;;
43 - 2018;14/02/2018;SERVIÇOS DE MANUTENÇÃO DE CÂMERAS DE SEGURANÇA, ALARME, PORTÕES E ANTENAS DA DELEGACIA DE POLÍCIA DE CAMBORIU/CITRAM;SECRETARIA DE ADMINISTRAÇÃO;ELETRONICA SANTA ROSA LTDA - ME;;3.920,00;;Compra Comum;;
42 - 2018;09/04/2018;REQUISITA-SE SACOLA EM TECIDO PET PARA KITS DE MATERIAIS DO PROGRAMA TATU AOS AGENTES AMBIENTAIS DO DEPARTAMENTO DE EDUCAÇÃO AMBIENAL DA FUNDAÇÃO DO MEIO AMBIENTE ED CAMBORIU - FUCAM.;Fundação Municipal do Meio Ambiente;ASSOCIACAO AMBIENTAL ECOATITUDE;;756,00;;Compra Comum;;
42 - 2018;29/03/2018;AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DESTINADOS A SECRETRIA DE SAÚDE, VISTO QUE, NÃO POSSUÍMOS PROCESSO LICITATÓRIO VIGENTE, DESTA FORMA SOLICITAMOS A AQUISIÇÃO DEO MESMOS NA FORMA DE COMPRA DIRETA.;FUNDO MUNICIPAL DE SAÚDE;LM AGUAS LTDA - EPP;;1.350,00;;Compra Comum;;
42 - 2018;07/02/2018;CONSERTO E MANUTENÇÃO DE 6 RÁDIOS COMUNICADORES, 02 BASES E 2 BATERIAS DE EXTREMA IMPORTÂNCIA E URGÊNCIA NO CONSERTO DOS MESMOS, SENDO NECESSÁRIOS PARA COMUNICAÇÃO ENTRE OS FUNCIONÁRIOS E SECRETÁRIOS PARA FACILITAR O DESEMPENHO DO TRABALHO NO DIA A DIA;FUNDO MUNICIPAL DE DESENVOLVIMENTO AGROP;MARIA DE LOURDES TEODORO NAZARIO - ME;;2.758,92;;Compra Comum;;
42 - 2018;15/05/2018;PRESTAÇÃO DE SERVIÇOS COM FORNECIMENTO DE MATERIAIS REFERENTE A MANUTENÇÃO PERIÓDICA DAS INSTALAÇÕES DE GÁS DAS UNIDADES ESCOLARES DO MUNICÍPIO.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;GALIOTTO GAS CENTRAL LTDA;;4.080,00;;Compra Comum;;
42 - 2018;14/06/2018;PRESTAÇÃO DE SERVIÇO DE CONSERTO E REGULAGEM EM MÁQUINA DE COSTURA, PARA EXECUÇÃO DOS PROGRAMAS DE CAPACITAÇÃO PROFISSIONAL, ATRAVÉS DA CASA DA COSTURA DO BAIRRO CENTRO, PARA GERAÇÃO DE TRABALHO E RENDA DAS FAMÍLIAS INSCRITAS EM PROGRAMAS SOCIAIS.;SECRETARIA MUNIC. DE ASSISTENCIA SOCIAL;JESSICA MAYARA CUNHA - ME;;2.760,00;;Compra Comum;;
41 - 2018;04/04/2018;REQUISITA-SE PLACA MÃE H61 PARA O COMPUTADOR DA FUNDAÇÃO DO MEIO AMBIENTE DE CAMBORIU - FUCAM. JA QUE A MESMA FOI QUEIMADA SENDO NECESSÁRIO A MANUTENÇÃO PERIÓDICA DO COMPUTADOR;Fundação Municipal do Meio Ambiente;SOMADATTA INFORMATICA LTDA - EPP;;490,00;;Compra Comum;;
41 - 2018;29/03/2018;AQUISIÇÃO DE ALIMENTOS DESTINADOS AO HOSPITAL CIRURGICO CAMBORIU - EDWIGES BERNARDES NO TEMPO NECESSÁRIO PARA REALIZAÇÃO DO PROCESSO LICITATÓRIO. CONSIDERANDO QUE NÃO SE ENCONTRA PROCESSO LIVITATÓRIO VIGENTE PARA AQUISIÇÃO DESTES PRODUTOS, FAZ-SE NECESSÁRIO A REALIZAÇÃO DE COMPRA DIRETA.;FUNDO MUNICIPAL DE SAÚDE;L & E COMERCIO ATACADISTA LTDA - EPP;;2.127,95;;Compra Comum;;
41 - 2018;07/02/2018;PRESTAÇÃO DE SERVIÇO ESPECIALIZADO EM ENCARDENAÇÃO DE LIVROS BALANCETES PARA O DEPARTAMENTO DE CONTABILIDADE, TENDO EM VISTA A NECESSIDADE DE MANUTENÇÃO DOS SERVIÇOS DESENVOLVIDOS NESTE DEPARTAMENTO DURANTE O ANO DE 2018. SEGUE APENAS UM ORÇAMENTO, TENDO EM VISTA SER O  ÚNICO PRESTADOR DO SERVIÇO NA REGIÃO;SECRETARIA DE FINANÇAS;GILBERTO GIL MÁXIMO;;4.000,00;;Compra Comum;;
41 - 2018;14/05/2018;AQUISIÇÃO DE PEÇAS, A SEREM UTILIZADAS NA MANUTENÇÃO MECÂNICA DA MOTO PLACA MGH 2180.  O MESMO SE FAZ NECESSÁRIO POIS A MESMA É UTILIZADA NO TRANSPORTE DIÁRIO A SERVIÇOS DESTA SECRETARIA.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;DOIS IRMÃOS MOTO PEÇAS LTDA ME;;473,00;;Compra Comum;;
41 - 2018;08/06/2018;CONTRATAÇÃO DE SERVIÇO HOTELEIRO PARA DIRETORA DE PROTEÇÃO SOCIAL ESPECIAL, FERNANDA AMANDIO, COMPREENDENDO O PERIÓDO DE 13/06/2018 A 15/06/2018, TENDO EM VISTA A REALIZAÇÃO DA OFICINA SOBRE GESTÃO FINANCEIRA E ORÇAMENTÁRIA DA ASSISTÉNCIA SOCIAL QUE SERÁ REALIZADA EM PORTO ALEGRE/RS.;SECRETARIA MUNIC. DE ASSISTENCIA SOCIAL;EXCELSIOR SA HOTEIS DE TURISMO;;449,40;;Compra Comum;;
40 - 2018;04/04/2018;REQUISITA-SE UMA CAIXA DE AGUA QUE SERÁ UTILIZADA COMO TANQUE DE CONTATO NA SOLUÇÃO ALTERNATIVA COLETICA DE ABASTECIMENTO DE ÁGUA NO PARQUE DA BICA;Fundação Municipal do Meio Ambiente;PNS MATERIAIS ELÉTRICOS LTDA;;173,04;;Compra Comum;;
40 - 2018;28/03/2018;AQUISIÇÃO DE ALIMENTOS DESTINADOS AO HOSPITAL CIRURGICO CAMBORIU EDWIGWA BERNARDES NO TEMPO NECESSÁRIO PARA A REALIZAÇÃO DO PROCESSO LICITATÓRIO. CONSIDERANDO QUE NÃO SE ENONTRA PROCESSO LICITATÓRIO VIGENTE PARA AQUISIÇÃO DESTES PRODUTOS, FAZ-SE NECESSÁRIA A REALIZAÇÃO COMPRA DIRETA NO PRESENTE MOMENTO, PARA ATENDER A SECRETARIA.;FUNDO MUNICIPAL DE SAÚDE;L & E COMERCIO ATACADISTA LTDA - EPP;;2.022,65;;Compra Comum;;
40 - 2018;07/02/2018;AQUISIÇÃO DE PASTAS PARA ARQUIVAMENTO DE PROCESSOS/EMPENHOS UTILIZADOS PELO DEPARTAMENTO DE CONTABILIDADE;SECRETARIA DE FINANÇAS;GRÁFICA DELTA LTDA ME;;5.920,00;;Compra Comum;;
40 - 2018;14/05/2018;SERVIÇO DE MÃO DE OBRA A SEREM UTILIZADAS NA MANUTENÇÃO MECÂNICA DA MOTO PLACA MGH 2180. O MESMO SE FAZ NECESSÁRIO POIS A MESMA É UTILIZADA NO TRANSPORTE DIÁRIO A SERVIÇOS DESTA SECRETARIA.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;DOIS IRMÃOS MOTO PEÇAS LTDA ME;;425,00;;Compra Comum;;
40 - 2018;08/06/2018;PRESTAÇÃO DE SERVIÇO DE DUAS INSCIÇÕES SENDO DA SECRETARIA DE ASSISTÊNCIA SOCIAL, ANDRÉIA DE SOUZA MACHADO E DA DIRETORA DE POTEÇÃO ESPECIAL FERNANDA AMANDIO, PARA PARTICIPAREM DA OFICINA SOBRE A GESTÃO FINANCEIRA E ORÇAMENTÁIA SOIAL, QUE SERÁ REALIZADO NOS DIAS 14 E 15 DE JUNHO DE 2018 EM PORTO ALEGRE/RS;SECRETARIA MUNIC. DE ASSISTENCIA SOCIAL;IGAM CORPORATIVO CURSOS E ASSESSORIA S/S LTDA;;1.180,00;;Compra Comum;;
39 - 2018;04/04/2018;AQUISIÇÃO DE MATERIAL PARA MANUTENÇÃO E ANÁLISE DA QUALIDADE DE AGUA DO PARQUE DA BICA;Fundação Municipal do Meio Ambiente;NELSON PEREIRA SATURNINO - ME - COMERCIAL PEREIRA;;136,00;;Compra Comum;;
39 - 2018;28/03/2018;AQUISIÇÃO DE ALIMENTOS DESTINADOS AO HOSPITAL CIRURGICO CAMBORIU EDWIGWA BERNARDES NO TEMPO NECESSÁRIO PARA A REALIZAÇÃO DO PROCESSO LICITATÓRIO. CONSIDERANDO QUE NÃO SE ENONTRA PROCESSO LICITATÓRIO VIGENTE PARA AQUISIÇÃO DESTES PRODUTOS, FAZ-SE NECESSÁRIA A REALIZAÇÃO COMPRA DIRETA NO PRESENTE MOMENTO, PARA ATENDER A SECRETARIA.;FUNDO MUNICIPAL DE SAÚDE;L & E COMERCIO ATACADISTA LTDA - EPP;;2.540,88;;Compra Comum;;
39 - 2018;07/02/2018;AQUISIÇÃO DE CARIMBOS DESTINADOS A MANUTENÇÃO DOS SERVIDORES DE ESCRITÓRIO DA SEDE DA SECRETARIA DE OBRAS E SEUS DEPARTAMENTOS QUE SÃO: DEPARTAMENTO DE TRÂNSITO, DEPARTAMENTO DE OBRAS, DEPARTAMENTO DE SERVIÇOS URBANOS, FROTA MUNICIPAL E EXTENSÃO DA SECRETARIA DE OBRAS NO DISTRITO DE MONTE ALEGRE;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;AIRTON PADILHA PEREIRA ME;;400,00;;Compra Comum;;
39 - 2018;14/05/2018;AQUISIÇÃO DE MATERIAL A SEREM UTILIZADOS PELA EQUIPE DE MANUTENÇÃO NAS UNIDADES ESCOLARES.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;NELSON PEREIRA SATURNINO ME - COMERCIAL PEREIRA;;234,15;;Compra Comum;;
39 - 2018;08/06/2018;CONTRATAÇÃO DE SERVIÇO HOTELEIRO PARA DIRETORA DE PROTEÇÃO ESPECIAL FERNANDA AMANDIO COMPREENDENDO E PERIÓDO DE 11/06/2018 A 13/06/2018, TENDO EM VISTA A  REALIZAÇÃO DA REUNIÃO DE APOIO TÉCNICO AOS ENTES FEDERADOS QUE SERÁ REALIZADO EM BRASILIA - DF E A MESMA É RESPONSÁVEL PELO PREENCHIMENTO DOS DADOS NO SISTEMA DE PRESTAÇÃO DE CONTAS ONLINE.;SECRETARIA MUNIC. DE ASSISTENCIA SOCIAL;THE UNION HOTEL LTDA;;779,70;;Compra Comum;;
38 - 2018;04/04/2018;REQUISITA-SE BOMBA E PAINEL DE COMANDO PARA O PARQUE DA BICA A SER REALIZADO PELA FUNDAÇÃO DO MEIO AMBIENTE DE CAMBORIU. OBSERVAÇÃO: UM DOS ORÇAMENTOS NÃO CONSEGUIMOS ASSINATURA , SOLICITAMOS QUE SEJA ACEITO O ORÇAMENTO CONFORME ENVIADO.;Fundação Municipal do Meio Ambiente;FLUIR COMERCIO, MANUTENCAO E SERVICOS LTDA;;1.780,00;;Compra Comum;;
38 - 2018;27/03/2018;HOSPEDAGEM PARA SERVIDORES DO SESC QUE ESTARÃO ATENDENDO  A DEMANDA DE MAMOGGRAFIAS DA DEMANDA REPRIMIDA DA SECRETARIA DE SAÚDE ATRAVÉS DA INSTALAÇÃO DE UM CENTRO MÓVEL DE ATENDIMENTO.;FUNDO MUNICIPAL DE SAÚDE;BSC HOTELARIA CAMBORIU LTDA;;7.380,00;;Compra Comum;;
38 - 2018;07/02/2018;CONTRATAÇÃO DE SERVIÇOS DE INTERNET PARA PORTAL TURÍSTICO, SITUADO NA AV. SANTA CATARIA, S/N, BAIRRO TABULEIRO PARA O ANO DE 2018 - FAZ-SE NECESSÁRIA A CONTRATAÇÃO DE INTERNET PARA FINS DE PESQUISAS TURÍSTICAS E INTEGRAÇÃO DE SISTEMA, JUNTO A SECRETARIA DE DESENVOLVIMENTO ECONÔMICO. NO ITEM 1 E 2 JA ESTÃO INCLUSOS OS SERVIÇOS DE INSTALAÇÃO E MANUTENÇÃO, LOGO ESTER ESTÃO ACRESCIDOS NO VALOR TOTAL.;SECRETARIA DE DESENVOLVIMENTO ECÔNOMICO;IMBRANET INTERNET E INFORMÁTICA LTDA ME;;2.458,80;;Compra Comum;;
38 - 2018;14/05/2018;AQUISIÇÃO DE MATERIAL A SEREM UTILIZADOS PELA EQUIPE DE MANUTENÇÃO PARA LIMPEZA DOS GRAMADOS E PÁTIOS NAS UNIDADES ESCOLARES.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;NELSON PEREIRA SATURNINO ME - COMERCIAL PEREIRA;;363,75;;Compra Comum;;
38 - 2018;30/05/2018;PRESTAÇÃO DE SERVIÇO DE DESLOCAMENTO TÉCNICO, MUDANÇA DE RAMAIS TELEFÔNICAS E PROGRAMAÇÃO TELEFÔNICA, NECESSÁRIO PARA ATENDER AS NECESSIDADES DA SECRETARIA DE ASSISTÊNCIA SOCIAL E SEUS DEPARTAMENTOS.;SECRETARIA MUNIC. DE ASSISTENCIA SOCIAL;PEREIRA TELECOMUNICACOES - CESAR PEREIRA;;485,00;;Compra Comum;;
37 - 2018;29/03/2018;AQUISIÇÃO DE SERVIÇO DE MÃO DE OBRA PARA INSTALAÇÃO ELÉTRICA NO PARQUE DA BICA;Fundação Municipal do Meio Ambiente;TIAGO LIMAS 06728339990;;495,00;;Compra Comum;;
37 - 2018;22/03/2018;AQUISIÇÃO DE TIRAS DE REAGENTE PARA DISTRIBUIÇÃO DOS PACIENTES QUE FAZEM USO DA REDE MUNICIPAL DE SAÚDE. POR MOTIVO DE CANCELAMENTO DO PREGÃO 01/2018 - FMS FAZ-SE NECESSÁRIO A REALIZAÇÃO DE COMPRA DIRETA PARA ATENDER ESTA SECRETARIA ATE QUE SE CONCLUA O DEVIDO CERTAME.;FUNDO MUNICIPAL DE SAÚDE;FUFA-SC DISTRIBUIDORA HOSPITALAR LTDA;;3.900,00;;Compra Comum;;
37 - 2018;06/02/2018;AQUISIÇÃO DE ARMÁRIO GUARDA-VOLUME, PARA GUARDAR OBJETOS  DO PÚBLICO, TENDO EM VISTA QUE FOI INSTALADA UMA PORTA GIRATÓRIA NO CITRAN DE CAMBORIU;SECRETARIA DE ADMINISTRAÇÃO;LINEAR INDUSTRIA E COMÉRCIO LTDA - EPP;;1.280,00;;Compra Comum;;
37 - 2018;14/05/2018;AQUISIÇÃO DE MATERIAL DE SEGURANÇA PARA SEREM USADAS PELA EQUIPE DE MANUTENÇÃO NOS TRBALHOS REALIZADOS QUANDO EXPOSTO AO SOL E SOLDA NAS UNIDADES ESCOLARES.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;NELSON PEREIRA SATURNINO ME - COMERCIAL PEREIRA;;234,90;;Compra Comum;;
37 - 2018;30/05/2018;AQUISIÇÃO DE MATERIAL DE EXPEDIENTE (COLA BRANCA) PARA ATENDER AO SERVIÇO DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS - SCFV A FIM DE POSSIBILITAR O DESENVOLVIMENTO DAS ATIVIDADES COM AS CRIANÇAS E ADOLESCENTES QUE PARTICIPAM DO PROJETO NO LOCAL SITUADO A RUA FLAMBOYANT Nº 591, BAIRRO MONTE ALEGRE, CAMBORIU/SC.;SECRETARIA MUNIC. DE ASSISTENCIA SOCIAL;D.A. SILVA- ME;;492,71;;Compra Comum;;
36 - 2018;29/03/2018;AQUISIÇÃO DE MATERIAL DE PROTEÇÃO SEGURANÇA DOS FUNCIONÁRIOS QUE FARÃO ANÁLISE DE QUALIDADE DE ÁGUA NO PARQUE DA BICA;Fundação Municipal do Meio Ambiente;ANA LUCIA DE OLIVEIRA - ME;;180,00;;Compra Comum;;
36 - 2018;16/03/2018;HOSPEDAGEM PARA SERVIDORES DO SESC QUE ESTARÃO ATENDENDO A DEMANDA DE MAMOGRAFIAS DA DEMANDA REPRIMIDA DA SECRETARIA DE SAÚDE ATRAVÉS DA INSTALAÇÃO DE UM CENTRO MÓVEL DE ATENDIMENTO NA FORMA DE COMPRA DIRETA AMPARADA PELA LEI 8666/93 NO SEU ARTIGO 24 II.;FUNDO MUNICIPAL DE SAÚDE;BSC HOTELARIA CAMBORIU LTDA - ME;;360,00;;Compra Comum;;
36 - 2018;05/02/2018;SERVIÇO DE DESINCETIZAÇÃO E DESRATIZAÇÃO NA DELEGACIA DE POLÍCIA DA COMARCA DE CAMBORIU/CITRAN E MONTE ALEGRE;SECRETARIA DE ADMINISTRAÇÃO;GAUCHA PREST. SERV. DEDETIZAÇÃO;;500,00;;Compra Comum;;
36 - 2018;14/05/2018;AQUISIÇÃO DE MATERIAL A SEREM UTILIZADOS PELA EQUIPE DE MANUTENÇÃO NAS UNIDADES ESCOLARES.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;NELSON PEREIRA SATURNINO ME - COMERCIAL PEREIRA;;391,45;;Compra Comum;;
36 - 2018;30/05/2018;PRESTAÇÃO DE SERVIÇO DE DESLOCAMENTO TÉCNICO E CONSERTO DA CENTRAÇ TELEFÔNICA, NECESSÁRIO PARA ATENDER AS NECESSIDADES DO CRAS, DOB A COORDEMAÇÃO DA SECRETARIA DE DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL.;SECRETARIA MUNIC. DE ASSISTENCIA SOCIAL;PEREIRA TELECOMUNICACOES - CESAR PEREIRA;;490,00;;Compra Comum;;
35 - 2018;16/03/2018;AQUISIÇÃO DE MATERIAIS PARA MANUTENÇÃO DE UM ELETROCARDIÓGRAFO, VISTO QUE O EQUIPAMENTO É O ÚNICO DISPONIVEL NA POLICLÍNICA PARA A REALIZAÇÃO DESTE TIPO DE EXAME. TAL SOLICITAÇÃO É AMPARADA PELA LEI 8666/93 NO SEU ARTIGO 24, DESTA FORMA CONFIGURADA E NECESSIDADE DE CONTRAÇÃO, ENCAMINHAMOS OS ORÇAMENTOS NECESSÁRIOS E REQUEREMOS SEFA ELABORADA AF PARA CONTRATAÇÃO DO SERVIÇO;FUNDO MUNICIPAL DE SAÚDE;MEDSYSTEM EQUIPAMENTOS MEDICOS EIRELI;;1.253,00;;Compra Comum;;
35 - 2018;02/02/2018;AQUISIÇÃO DE PEÇAS PARA REPOSIÇÃO NO CONSERTO DA MOTOCICLETA CG 125, PLACA MBI1329, DESTA SECRETARIA, UTILIZADA NO SERVIÇO DE APOIO NA EXTENSÃO DA SECRETARIA DE OBRAS, NO DISTRITO MONTE ALEGRE;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;DOIS IRMÃOS MOTO PEÇAS LTDA ME;;295,00;;Compra Comum;;
35 - 2018;14/05/2018;CONTRATAÇÃO DE MÃO DE OBRA ESPECIALIZADA COM FORNECIMENTO DE MATERIAL (CALHAS E RUFOS) PARA A UNIDADE ESCOLAR JOAQUIM MAGALHÃES, PARA REPOSIÇÃO DE CALHAS FURADAS.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;KILA CONSTRUCOES EIRELI - ME;;2.485,00;;Compra Comum;;
35 - 2018;30/05/2018;AQUISIÇÃO DE MATERIAIS PARA MANUTENÇÃO NO IMÓVEL QUE ABRIGA A SEDE DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS E O CENTRO DE REFERÊNCIA ESPECIALIZADO EM ASSISTÊNCIA SOCIAL - CREAS, POSSIBILITANDO DESENVOLVIMENTO DAS ATIVIDADES NO LOCAL E SEGURANÇA AOS USUÁRIOS.;SECRETARIA MUNIC. DE ASSISTENCIA SOCIAL;PNS MATERIAIS ELÉTRICOS LTDA;;2.997,68;;Compra Comum;;
34 - 2018;29/03/2018;REQUISITA-SE A AQUISIÇÃO DO KIT POSTINHO PARA O ESTABELECIMENTO DE ENERGIA NO PARQUE DA BICA;Fundação Municipal do Meio Ambiente;VALMIR BEIRAO BITTENCOURT ME;;1.000,00;;Compra Comum;;
34 - 2018;14/03/2018;SERVIÇO DE FORNECIMENTO DE ALIMENTAÇÃO AOS FUNCIONÁRIOS QUE ESTÃO REALIANDO MULTIRÃO DE MAMOGRAFIAS REALIZADOS PELO SESC EM PARCERIA COM A REDE MUNICIPAL DE SAÚDE, DESTA FORMA, SOLICITAMOS A AQUISIÇÃO DOS MESMOS NA FORMA DE COMPRA DIRETA AMPARADA PELA LEI 8666/93 NO SEU ARTIGO 24II, DESTA FORMA CONFIGURADA A NECESSIDADE E POSSIBILIDADE DE CONTRAÇÃO, ENCAMINHAMOS OS ORÇAMENTOS NECESSÁRIOS E REQUEREMOS SEJA ELABORADA AF PARA AQUISIÇÃO DESTES PRODUTOS.;FUNDO MUNICIPAL DE SAÚDE;COMERCIAL SEARA LTDA - ME;;2.535,00;;Compra Comum;;
34 - 2018;02/02/2018;CONTRATAÇÃO DE EMPRESA DESTINADA A MANUTENÇÃO NO CONSERTO DA MOTOCICLETA CG 125, PLACA MBI1329, DESTA SECRETARIA, UTILIZADA NO SERVIÇO DE APOIO NA EXTENSÃO DA SECRETARIA DE OBRAS, NO DISTRITO MONTE ALEGRE;SECRETARIA DE OBRAS E SERVIÇOS URBANOS;DOIS IRMÃOS MOTO PEÇAS LTDA ME;;165,00;;Compra Comum;;
34 - 2018;14/05/2018;AQUISIÇÃO DE UNIFORME (COLETES) PARA OS VIGIAS E MONITORAS. SE FAZ NECESSÁRIO PARA IDENTIFICAR O FUNCIONÁRIO (VIGIAS) NAS ESCOLAS EM PERIÓDOS QUE NÃO HÁ EXPEDIENTE ESCOLAR. E PARA AS MONITORAS PORQUE FACILITAM A VISUALIZAÇÃO DAS CRINÇAS QUE NECESSITAM DO ACOMPANHAMENTO DA MONITORA.;SECRETARIA MUNICIPAL DE EDUCAÇÃO;FRANCISCO XAVIER ROCHA - ME;;3.832,50;;Compra Comum;;
